denuncia_fecha,denuncia_tipo_explotacion,denuncia_via_ingreso,denunciante_tipo_acercamiento,hecho_localidad,hecho_provincia,hecho_pais,hecho_denuncia_previa,derivacion_judicializacion_organismo,derivacion_judicializacion_fecha
2017-01-01,Explotación sexual,Línea 145,Otros,BARRIO SAENZ PEÑA,Santa Fe,Argentina,,Protex,2017-01-01
2017-01-01,Explotación sexual,Línea 145,Otros,CORDOBA,Córdoba,Argentina,,Protex,2017-01-01
2017-01-01,Explotación sexual,Línea 145,Otros,TUCUMAN,Tucumán,Argentina,,Protex,2017-01-01
2017-01-01,Desaparición,Línea 145,Televisión,MORENO,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-01
2017-01-01,Explotación sexual,Línea 145,Otros,CONCEPCION,Tucumán,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-01
2017-01-01,Traslado de personas,Línea 145,Otros,BANFIELD,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-01
2017-01-01,Explotación sexual,Línea 145,Otros,Caba,Caba,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-01
2017-01-01,Desaparición,Línea 145,Otros,LAS HERRERAS,No aplica,,,No sale,
2017-01-02,Explotación sexual,Línea 145,Otros,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-02
2017-01-02,Desaparición,Línea 145,Sin datos,BANFIELD. LOMAS DE ZAMORA,Buenos Aires,Argentina,Sí,Protex,2017-01-02
2017-01-02,Desaparición,Línea 145,Otros,BAHIA BLANCA,Buenos Aires,Argentina,,Protex,2017-01-02
2017-01-02,Desaparición,Línea 145,Otros,MORENO,Buenos Aires,Argentina,,Protex,2017-01-02
2017-01-02,Desaparición,Línea 145,Otros,MORENO,Buenos Aires,Argentina,,Protex,2017-01-02
2017-01-02,Desaparición,Línea 145,Otros,Caba,Caba,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-03
2017-01-02,Explotación sexual,Línea 145,Otros,Caba,Caba,Argentina,,No sale,2017-01-02
2017-01-03,Explotación sexual,Línea 145,Televisión,FATIMA / PILAR,Buenos Aires,Argentina,,Protex,2017-01-03
2017-01-03,Explotación sexual,Línea 145,Internet,LOS ANTIGUOS,Santa Cruz,Argentina,,Protex,2017-01-03
2017-01-03,Posible captación,Correo institucional,ONG – Org Nacionales,SALTA,Salta,Argentina,,Protex,2017-01-03
2017-01-03,Secuestro/Venta de niños/pornografía infantil,Línea 145,Otros,GRAL RODRIGUEZ,Buenos Aires,Argentina,,Protex,2017-01-03
2017-01-03,Desaparición,Línea 145,Sin datos,,Caba,Argentina,,Protex,2017-01-03
2017-01-03,Explotación sexual,Línea 145,Televisión,MENDOZA CAPITAL,Mendoza,Argentina,,PNA Área legal para judicializar ,2017-01-03
2017-01-03,Publicidad de oferta sexual,Línea 145,Internet,Caba ,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-03
2017-01-03,Posible captación,Línea 145,Internet,MENDOZA CAPITAL,Mendoza,Argentina,,PNA Área legal para judicializar ,2017-01-03
2017-01-03,Desaparición,Línea 145,Otros,Caba,Caba,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-03
2017-01-03,Secuestro/Venta de niños/pornografía infantil,Línea 145,ONG – Org Nacionales,LA PLATA,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-03
2017-01-03,Posible captación,Línea 145,Sin datos,GUAYMALLÉN ,Mendoza,Argentina,, PNA Área legal para judicializar - Fuerzas de seguridad federales,2017-01-03
2017-01-03,Posible captación,Línea 145,Sin datos,GUAYMALLÉN ,Mendoza,Argentina,, PNA Área legal para judicializar - Fuerzas de seguridad federales,2017-01-03
2017-01-04,Explotación sexual,Línea 145,Por contacto (boca en boca),GOYA,Corrientes,Argentina,,Área legal (judicializadas),2017-01-05
2017-01-04,Explotación sexual,Línea 145,Por contacto (boca en boca),GOYA,Corrientes,Argentina,,Área legal (judicializadas),2017-01-05
2017-01-04,Explotación sexual,Línea 145,Por contacto (boca en boca),GOYA,Corrientes,Argentina,,Área legal (judicializadas),2017-01-05
2017-01-04,Explotación sexual,Línea 145,Televisión,MUNICIPIO DE CONCEPCIÓN,Tucumán,Argentina,,Protex,2017-01-05
2017-01-04,Desaparición,Línea 145,Televisión,Caba,Caba,Argentina,,Protex,2017-01-04
2017-01-04,Secuestro/Venta de niños/pornografía infantil,Línea 145,Otros,GUAYMAYEN,Mendoza,Argentina,,Área legal (judicializadas) - Fuerzas de seguridad federales,2017-12-04
2017-01-05,Explotación sexual,Línea 145,Otros,FLORESTA,Caba,Argentina,,Ministerio de Seguridad,2017-01-05
2017-01-05,Explotación sexual,Línea 145,Otros,GOYA,Corrientes,Argentina,,Área legal (judicializadas),2017-01-05
2017-01-05,Secuestro/Venta de niños/pornografía infantil,Línea 145,Otros,GUAYMAYEN,Mendoza,Argentina,,Área legal (judicializadas),2017-01-05
2017-01-05,Explotación sexual,Línea 145,ONG – Org Nacionales,BELLA VISTA,Buenos Aires,Argentina,,Protex,2017-01-05
2017-01-05,Explotación sexual,Línea 145,ONG – Org Nacionales,SAN MIGUEL ,Buenos Aires,Argentina,,Protex,2017-01-05
2017-01-05,Desaparición,Línea 145,Otros,SAN MARTIN,Buenos Aires,Argentina,,Protex,2017-01-06
2017-01-05,Explotación sexual,Línea 145,ONG – Org Nacionales,MAR DEL PLATA,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-05
2017-01-06,Explotación sexual,Línea 145,Internet,FLORES ,Caba,Argentina,,Área legal (judicializadas),2017-01-06
2017-01-06,Explotación sexual,Línea 145,Otros,GOYA,Corrientes,Argentina,,Área legal (judicializadas),2017-01-06
2017-01-06,Desaparición,Línea 145,Otros,FLORENCIO VARELA,Buenos Aires,Argentina,,Protex,2017-01-07
