"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_genero","llamante_rango_etario","llamante_provincia","llamante_es_victima","victima_genero","victima_rango_etario","victima_discapacidad","victima_embarazada","victima_provincia_origen","victima_cantidad","victima_nacionalidad","denunciado_genero","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","hecho_provincia","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_provincia_origen_indec_id","denunciado_provincia_indec_id","hecho_provincia_indec_id"
"2018-03-01","No","No","No","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sí","Femenino","0 a 13","No","No","Ciudad Autónoma de Buenos Aires","1","Argentina","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","ONG - Organismos nacionales","Protex","2018-03-01","","","",""
"2018-03-01","No","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","26 a 40","Sí","No","Buenos Aires","1","Argentina","No sabe/no contesta","Buenos Aires","No","No","Buenos Aires","Posible captación","Línea 145","Otros","Protex","2018-03-01","","06","06","06"
"2018-03-01","Sí","No","Sí","No sabe/no contesta","14 a 16","Córdoba","Sin datos","Femenino","14 a 16","No","Sí","Corrientes","9","Argentina","Masculino","Corrientes","No","Sí","Corrientes","Explotación sexual","Línea 145","Otros","Protex","2018-03-01","14","18","18","18"
"2018-03-01","No","No","No","No sabe/no contesta","0 a 13","Chaco","Sin datos","Femenino","0 a 13","Sí","No","Buenos Aires","2","Argentina","Masculino","Buenos Aires","No","No","Buenos Aires","Desaparición","Línea 145","Internet","Protex","2018-03-01","22","06","06","06"
"2018-03-01","Sí","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","18 a 25","Sí","No","Buenos Aires","1","Argentina","Masculino","Sin dato/no contesta","No","No","Ciudad Autónoma de Buenos Aires","Desaparición","Línea 145","Otros","Protex","2018-03-01","","06","",""
"2018-03-01","No","No","Sí","No sabe/no contesta","14 a 16","Sin dato/no contesta","No","Femenino","41 a 60","No","No","Santa Fe","1","Argentina","Femenino","Santa Fe","Sí","No","Santa Fe","Explotación sexual","Línea 145","TV","Fuerzas de seguridad federal","2018-03-01","","82","82","82"
"2018-03-01","Sí","No","Sí","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sí","Femenino","14 a 16","No","No","Ciudad Autónoma de Buenos Aires","3","Argentina","Situaciones con hombres y mujeres o trans (varios)","Ciudad Autónoma de Buenos Aires","Sí","No","Ciudad Autónoma de Buenos Aires","Explotación laboral","Línea 145","Otros","Fuerzas de seguridad federal","2018-03-01","","","",""
"2018-03-02","No","No","Sí","No sabe/no contesta","14 a 16","Chubut","Sin datos","Femenino","No refiere","No","No","Santa Fe","0","No refiere","Femenino","Santa Fe","Sí","No","Santa Fe","Explotación sexual","Línea 145","Internet","Protex","2018-03-02","26","82","82","82"
"2018-03-02","No","No","Sí","No sabe/no contesta","14 a 16","Sin dato/no contesta","No","Femenino","No refiere","No","No","Buenos Aires","0","No refiere","Masculino","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Internet","Protex","2018-03-02","","06","06","06"
"2018-03-02","Sí","No","Sí","No sabe/no contesta","14 a 16","Sin dato/no contesta","No","Femenino","No refiere","No","No","Buenos Aires","0","No refiere","Masculino","Buenos Aires","No","No","Buenos Aires","Explotación sexual","Línea 145","Internet","Protex","2018-03-02","","06","06","06"
"2018-03-02","No","No","Sí","No sabe/no contesta","14 a 16","Sin dato/no contesta","Sin datos","Femenino","0 a 13","No","No","Tucumán","2","No refiere","Masculino","Tucumán","No","No","Tucumán","Explotación sexual","Línea 145","Internet","Protex","2018-03-02","","90","90","90"
"2018-03-02","Sí","No","No","No sabe/no contesta","0 a 13","Sin dato/no contesta","Sin datos","Femenino","18 a 25","No","No","Buenos Aires","1","Argentina","Masculino","Ciudad Autónoma de Buenos Aires","No","No","Ciudad Autónoma de Buenos Aires","Desaparición","Línea 145","Otros","Protex","2018-03-02","","06","",""
