denuncia_fecha,denuncia_previa,derivacion_seguimiento,llamante_anonimo,llamante_genero,llamante_rango_etario,llamante_provincia,llamante_es_victima,victima_genero,victima_rango_etario,victima_discapacidad,victima_embarazada,victima_provincia_origen,victima_cantidad,victima_nacionalidad,denunciado_genero,denunciado_rango_etario,denunciado_provincia,connivencia_fuerzas_seguridad,connivencia_poder_politico,hecho_provincia,denuncia_tipo_explotacion,denuncia_via_ingreso,acercamiento_tipo,derivacion_organismo,derivacion_fecha,llamante_provincia_indec_id,victima_provincia_origen_indec_id,denunciado_provincia_indec_id,hecho_provincia_indec_id
2018-06-01,Sí,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,Femenino,No refiere,No,No,Ciudad Autónoma de Buenos Aires,15,No refiere,,14 a 16,Ciudad Autónoma de Buenos Aires,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Otros,Area legal ya judicializada,2018-06-01,,,,
2018-06-01,No,Sí,No,No sabe/no contesta,0 a 13,Corrientes,Sin datos,Femenino,18 a 25,No,No,Buenos Aires,1,Argentina,,No refiere,Sin dato/no contesta,No,No,Sin dato/no contesta,Desaparición,Línea 145,Internet,Protex,2018-06-01,18,6,,
2018-06-02,Sí,Sí,No,No sabe/no contesta,0 a 13,Corrientes,Sin datos,Femenino,18 a 25,No,No,Buenos Aires,1,Argentina,,No refiere,Sin dato/no contesta,No,No,Sin dato/no contesta,Desaparición,Línea 145,Internet,Protex,2018-06-02,18,6,,
2018-06-02,No,No,Sí,No sabe/no contesta,0 a 13,Córdoba,Sin datos,Femenino,18 a 25,No,No,Sin dato/no contesta,4,Argentina,,0 a 13,Buenos Aires,Sí,No,Buenos Aires,Explotación sexual,Línea 145,Otros,Protex,2018-06-02,14,,6,6
2018-06-02,No,No,Sí,No sabe/no contesta,14 a 16,Córdoba,Sin datos,Femenino,0 a 13,No,No,Sin dato/no contesta,0,Argentina,,26 a 40,Corrientes,No,Sí,Corrientes,Explotación sexual,Línea 145,Otros,Protex,2018-06-02,14,,18,18
2018-06-02,No,No,Sí,No sabe/no contesta,14 a 16,Chaco,Sí,Femenino,No refiere,No,No,Sin dato/no contesta,0,No refiere,,No refiere,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Explotación sexual,Línea 145,Internet,Área legal para judicializar,2018-06-02,22,,,
2018-06-02,No,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,No refiere,No,No,Sin dato/no contesta,2,No refiere,,No refiere,Buenos Aires,No,No,Buenos Aires,Publicidad de oferta sexual,Línea 145,Otros,Area legal ya judicializada,2018-06-02,,,6,6
2018-06-03,No,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Femenino,18 a 25,No,No,Buenos Aires,2,Argentina,,14 a 16,Buenos Aires,No,No,Buenos Aires,Explotación sexual,Línea 145,Otros,Protex,2018-06-03,,6,6,6
2018-06-03,Sí,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,Femenino,14 a 16,Sí,No,Ciudad Autónoma de Buenos Aires,1,Argentina,,No refiere,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Desaparición,Línea 145,Capacitación,Fuerzas de seguridad federal,2018-06-04,,,,
2018-06-04,Sí,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,Femenino,14 a 16,Sí,No,Ciudad Autónoma de Buenos Aires,1,Argentina,,No refiere,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Desaparición,Línea 145,Capacitación,Area legal ya judicializada,2018-06-04,,,,
2018-06-04,No,No,Sí,No sabe/no contesta,0 a 13,Chubut,Sin datos,Femenino,14 a 16,No,No,Santa Fe,5,Argentina,,0 a 13,Sin dato/no contesta,No,No,Santa Fe,Explotación sexual,Línea 145,ONG - Organismos nacionales,Protex,2018-06-04,26,82,,82
2018-06-04,Sí,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Masculino,18 a 25,No,No,Buenos Aires,3,Extranjera,,14 a 16,Sin dato/no contesta,No,No,Buenos Aires,Explotación sexual,Línea 145,Otros,Protex,2018-06-04,,6,,6
2018-06-05,No,No,Sí,No sabe/no contesta,No refiere,Sin dato/no contesta,No,Femenino,18 a 25,No,No,Corrientes,0,No refiere,,14 a 16,Sin dato/no contesta,No,No,Sin dato/no contesta,Posible trata de personas (hecho indefinido),Línea 145,Otros,Protex,2018-06-05,,18,,
2018-06-05,No,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Situaciones con hombres y mujeres o trans (varios),0 a 13,No,No,Buenos Aires,12,Extranjera,,14 a 16,Buenos Aires,No,No,Buenos Aires,Explotación laboral,Línea 145,Otros,Fuerzas de seguridad federal,2018-06-05,,6,6,6
2018-06-05,No,No,Sí,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sin datos,Situaciones con hombres y mujeres o trans (varios),0 a 13,No,No,Río Negro,5,No refiere,,26 a 40,Sin dato/no contesta,No,No,Río Negro,"Explotación laboral niñas, niños y adolescentes",Línea 145,Otros,Protex,2018-06-05,,62,,62
2018-06-05,No,No,Sí,Femenino,0 a 13,Sin dato/no contesta,Sí,Femenino,14 a 16,No,No,Sin dato/no contesta,0,No refiere,,14 a 16,Sin dato/no contesta,No,No,Ciudad Autónoma de Buenos Aires,Posible captación,Línea 145,Otros,Área legal para judicializar,2018-06-05,,,,
2018-06-05,Sí,No,Sí,No sabe/no contesta,14 a 16,Sin dato/no contesta,Sin datos,Femenino,26 a 40,No,No,Santa Fe,5,Argentina,,0 a 13,Santa Fe,No,No,Santa Fe,Explotación sexual,Línea 145,Otros,Protex,2018-06-05,,82,82,82
2018-06-06,No,No,No,No sabe/no contesta,0 a 13,Sin dato/no contesta,Sí,Femenino,18 a 25,No,No,Ciudad Autónoma de Buenos Aires,0,Argentina,,No refiere,Sin dato/no contesta,No,No,Internet,Posible captación,Línea 145,Otros,Área legal para judicializar,2018-06-06,,,,
