"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_indec_id","victima_identificada_provincia_origen_indec_id","denunciado_provincia_indec_id","victimas_estimadas_provincia_hecho_indec_id"
"2018-11-01","No","No","Sí","No","Femenino","0 a 13","Chaco","Femenino","18 a 25","No","No","Chaco","Argentina","No sabe/no contesta","No sabe/no contesta","Chaco","No","No","5","Femenino","18 a 25","Chaco","Explotación sexual","Línea 145","Otros","Protex","2018-11-01","22","22","22","22"
"2018-11-01","No","No","Sí","No","Masculino","No sabe/no contesta","Tucumán","Masculino","14 a 15","No","No","Tucumán","Argentina","Femenino","No sabe/no contesta","Tucumán","No","No","1","Masculino","14 a 15","Tucumán","Explotación laboral","Línea 145","Otros","Protex","2018-11-01","90","90","90","90"
"2018-11-01","No","No","Sí","No","Masculino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Masculino","No sabe/no contesta","No","No","Sin dato/no contesta","Argentina","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","3","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","Otros","Área legal para judicializar","2018-11-01","02","","02","02"
"2018-11-01","No","No","No","No","Femenino","No sabe/no contesta","Buenos Aires","Femenino","18 a 25","No","No","Misiones","Argentina","Femenino","No sabe/no contesta","Buenos Aires","No","No","2","Femenino","18 a 25","Buenos Aires","Venta de niños y otros delitos","Línea 145","ONG - Organismos nacionales","Protex","2018-11-01","06","54","06","06"
"2018-11-01","No","No","Sí","No","Femenino","No sabe/no contesta","Buenos Aires","Femenino","No sabe/no contesta","No","No","Sin dato/no contesta","Extranjera","No sabe/no contesta","No sabe/no contesta","Buenos Aires","No","No","0","Femenino","No sabe/no contesta","Buenos Aires","Publicidad de oferta sexual","Línea 145","No contesta / No se consultó","Protex","2018-11-01","06","","06","06"
"2018-11-01","No","No","No","No","Femenino","18 a 25","Buenos Aires","Femenino","18 a 25","No","No","Ciudad Autónoma de Buenos Aires","No refiere","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","No","No","1","Femenino","18 a 25","Ciudad Autónoma de Buenos Aires","Explotación laboral","Línea 145","ONG - Organismos nacionales","Protex","2018-11-01","06","02","02","02"
"2018-11-02","Sí","No","No","No","Femenino","26 a 40","Ciudad Autónoma de Buenos Aires","Femenino","18 a 25","No","No","Buenos Aires","Argentina","Femenino","18 a 25","Buenos Aires","Sí","No","1","Femenino","18 a 25","Buenos Aires","Desaparición","Línea 145","Boca en boca","Protex","2018-11-02","02","06","06","06"
"2018-11-02","Sí","No","No","No","Masculino","No sabe/no contesta","Sin dato/no contesta","Femenino","No sabe/no contesta","No","No","Ciudad Autónoma de Buenos Aires","No refiere","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","Femenino","No sabe/no contesta","Ciudad Autónoma de Buenos Aires","Explotación sexual","Correo institucional","No contesta / No se consultó","Area legal ya judicializada","2018-11-02","","02","","02"
"2018-11-02","No","No","No","No","Masculino","41 a 60","Santa Fe","Femenino","18 a 25","No","No","Santa Fe","Argentina","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","Femenino","18 a 25","Santa Fe","Desaparición","Línea 145","Boca en boca","Protex","2018-11-02","82","82","","82"
"2018-11-02","No","No","No","Sí","Femenino","26 a 40","Buenos Aires","Femenino","14 a 15","Sí","No","Buenos Aires","Argentina","Masculino","41 a 60","Buenos Aires","Sí","Sí","2","Femenino","14 a 15","Buenos Aires","Explotación sexual","Línea 145","ONG - Organismos nacionales","Juzgado / Fiscalía","2018-11-02","06","06","06","06"
"2018-11-02","Sí","Sí","No","No","Masculino","41 a 60","Santa Fe","Femenino","18 a 25","No","No","Santa Fe","Argentina","No sabe/no contesta","No sabe/no contesta","Sin dato/no contesta","No","No","1","Femenino","18 a 25","Santa Fe","Desaparición","Línea 145","Boca en boca","Protex","2018-11-02","82","82","","82"
"2018-11-02","No","No","Sí","No","Masculino","26 a 40","Ciudad Autónoma de Buenos Aires","Femenino","41 a 60","No","No","Ciudad Autónoma de Buenos Aires","No refiere","Masculino","26 a 40","Ciudad Autónoma de Buenos Aires","No","No","1","Femenino","41 a 60","Ciudad Autónoma de Buenos Aires","Explotación sexual","Línea 145","ONG - Organismos nacionales","Área legal para judicializar","2018-11-02","02","02","02","02"
