"denuncia_fecha","denuncia_previa","derivacion_seguimiento","llamante_anonimo","llamante_es_victima","llamante_genero","llamante_rango_etario","llamante_provincia","victima_identificada_genero","victima_identificada_rango_etario","victima_identificada_discapacidad","victima_identificada_embarazada","victima_identificada_provincia_origen","victima_identificada_nacionalidad","denunciado_genero","denunciado_rango_etario","denunciado_provincia","connivencia_fuerzas_seguridad","connivencia_poder_politico","victimas_estimadas_cantidad","victimas_estimadas_genero","victimas_estimadas_rango_etario","victimas_estimadas_provincia_hecho","denuncia_tipo_explotacion","denuncia_via_ingreso","acercamiento_tipo","derivacion_organismo","derivacion_fecha","llamante_provincia_id","victima_identificada_provincia_origen_id","denunciado_provincia_id","victimas_estimadas_provincia_hecho_id"
"2019-10-01","Nueva","No","No","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","30","No","No","NS/NC","Argentina","NS/NC","NS/NC","NS/NC","No","No","4","Femenino","30","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-10-01","06","","","06"
"2019-10-01","Nueva","No","No","No es Víctima","Masculino","81","Buenos Aires","Femenino","30","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","4","Femenino","30","Buenos Aires","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Protex ","2019-10-01","06","06","","06"
"2019-10-01","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","4","Femenino","18","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-10-01","02","","","06"
"2019-10-01","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","12","No","No","Buenos Aires","NS/NC","Masculino","45","Buenos Aires","No","No","1","Femenino","12","Buenos Aires","Pornografía Infantil","Línea 145","NS/NC","Protex ","2019-10-01","","06","06","06"
"2019-10-01","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","30","Sí","no","Menodza","Argentina","femenino","30","Mendoza","no","no","1","Femenino","30","MENDOZA","Eplotacion  Sexual ","Línea 145","NS/NC","Protex ","2019-10-01","","","50","50"
"2019-10-01","Nueva","no","Sí","Víctima Directa","Femenino","19","Santa Fe","Femenino","19","No","No","Santa Fe","NS/NC","Masculino","NS/NC","Santa Fe","No","No","1","Femenino","NS/NC","Santa Fe","Oferta Laboral Engañosa","Línea 145","Internet","Protex ","2019-10-02","82","82","82","82"
"2019-10-01","Nueva","no","Sí","Víctima Indirecta","Femenino","NS/NC","Buenos Aires","Femenino","30","Sí","Sí","Buenos Aires","Argentina","Femenino","NS/NC","Buenos Aires","No","No","2","Presencia de M y H","30","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Prefectura Naval y Protex","2019-10-02","06","06","06","06"
"2019-10-02","Relacionada","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","NS/NC","NS/NC","No","No","NS/NC","NS/NC","Presencia de M y H","NS/NC","Buenos Aires","No","No","NS/NC","NS/NC","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-10-02","06","","06","06"
"2019-10-02","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Presencia de M y H","NS/NC","No","No","NS/NC","Países Limítrofes","Presencia de M y H","NS/NC","Buenos Aires","No","No","10","Presencia de M y H","NS/NC","Buenos Aires","Explotación Laboral","Línea 145","NS/NC","Prefectura Naval y Protex","2019-10-02","06","","06","06"
"2019-10-02","Nueva","No","No","Víctima Directa","Femenino","17","Córdoba","Presencia de M y H","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","NS/NC","NS/NC","NS/NC","Córdoba","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","2019-10-02","14","","","14"
"2019-10-02","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Chaco","Femenino","14","No","No","NS/NC","NS/NC","Masculino","NS/NC","Chaco","No","No","NS/NC","NS/NC","NS/NC","Chaco","Explotación Sexual","Línea 145","NS/NC","Gendarmería y Protex","2019-10-02","22","","22","22"
"2019-10-03","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","16","No","No","Buenos Aires","Argentina","Femenino","45","Buenos Aires","No","No","1","Femenino","16","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Policía Federal y Protex","2019-10-03","06","06","06","06"
"2019-10-03","Relacionada","No","Sí","No es Víctima","Masculino","NS/NC","CABA","Femenino","NS/NC","No","No","CABA","Países Limítrofes","Femenino","NS/NC","CABA","No","No","9","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-10-03","02","02","02","02"
"2019-10-03","Nueva","No","No","No es Víctima","NS/NC","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","CABA","No","No","NS/NC","Femenino","NS/NC","CABA","Traslado de personas","Línea telefónica institucional","NS/NC","Area Legal para judicializar","2019-10-03","","","02","02"
"2019-10-03","Nueva","No","No","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","13","No","No","Corrientes","Argentina","Masculino","NS/NC","Corrientes","No","No","3","Presencia de M y H","13","Corrientes","Explotación Sexual de N, N y A","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-10-03","06","18","18","18"
"2019-10-03","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","Países Limítrofes","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","23","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal para judicializar","2019-10-03","","","","02"
"2019-10-03","Ampliatoria","No","Sí","Víctima Indirecta","Femenino","NS/NC","Buenos Aires","Femenino","30","Sí","Sí","Buenos Aires","Argentina","Femenino","NS/NC","Buenos Aires","No","No","2","Presencia de M y H","30","Buenos Aires","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-10-02","06","06","06","06"
"2019-10-03","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Masculino","12","No","No","Buenos Aires","Argentina","Masculino","NS/NC","NS/NC","No","No","8","Masculino","12","Buenos Aires","Explotación Laboral","Línea 145","NS/NC","Policía Federal y Protex","2019-10-03","06","06","","06"
"2019-10-03","Nueva","No","No","No es Víctima","Femenino","NS/NC","Jujuy","Masculino","25","No","No","JUJUY","Argentina","Masculino","NS/NC","JUJUY","Sí","No","1","Masculino","25","JUJUY","Desaparición de personas","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-10-03","38","38","38","38"
"2019-10-04","Nueva","No","No","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","17","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","17","Buenos Aires","Desaparición de personas","Línea 145","ONG-Organismos nacionales","Protex ","2019-10-04","06","06","","06"
"2019-10-04","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","17","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","17","Buenos Aires","Posible captación","Línea 145","NS/NC","Protex ","2019-10-04","06","06","","06"
"2019-10-04","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","24","No","No","NS/NC","Argentina","Masculino","45","NS/NC","No","No","1","Femenino","24","Buenos Aires","Oferta Laboral Engañosa","Línea 145","ONG-Organismos nacionales","Protex ","2019-10-04","06","","","06"
"2019-10-04","Nueva","NO","Sí","No es Víctima","Femenino","17","Buenos Aires","Femenino","17","NO","NO","Buenos Aires","Argentina","Femenino","40","Buenos Aires","NO","NO","3","Femenino","17","CABA","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-10-04","06","06","06","02"
"2019-10-04","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Salta","Femenino","16","no","No","Salta","Argentina","Masculino","NS/NC","Salta","Sí","Sí","NS/NC","Femenino","15","Salta","Venta de Niñxs y otros delitos","Línea 145","NS/NC","Protex ","2019-10-04","66","66","66","66"
"2019-10-04","Ampliatoria","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","17","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","17","Buenos Aires","Posible captación","Línea 145","NS/NC","Protex ","2019-10-04","06","06","","06"
"2019-10-04","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","24","NO","NO","Buenos Aires","Argentina","Masculino","45","NS/NC","NO","NO","1","Femenino","24","Buenos Aires","Oferta Laboral Engañosa","Línea 145","NS/NC","Protex ","2019-10-04","06","06","","06"
"2019-10-04","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","13","No","No","Buenos Aires","Argentina","NS/NC","NS/NC","NS/NC","No","No","NS/NC","Femenino","13","Buenos Aires","Pornografía Infantil","Línea 145","NS/NC","Protex ","2019-10-04","06","06","","06"
"2019-10-05","Nueva","No","No","Víctima Indirecta","Masculino","60","Chaco","Masculino","28","No","No","Chaco","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Masculino","28","Chaco","Desaparición de personas","Línea 145","ONG-Organismos nacionales","Protex ","2019-10-05","22","22","","22"
"2019-10-05","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","Buenos Aires","Femenino","NS/NC","No","No","NS/NC","NS/NC","NS/NC","NS/NC","NS/NC","No","No","2","Femenino","NS/NC","Buenos Aires","Explotación Sexual","Línea 145","Campañas del Programa","Protex ","2019-10-05","06","","","06"
"2019-10-06","Nueva","No","No","Víctima Directa","Femenino","44","Santa Cruz","Femenino","44","No","No","Buenos Aires","Países Limítrofes","Femenino","73","Santa Cruz","No","No","1","Femenino","44","Santa Cruz","Explotación Sexual","Línea 145","ONG-Organismos nacionales","Gendarmería y Protex","2019-10-05","78","06","78","78"
"2019-10-06","Ampliatoria","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","NS/NC","No","No","NS/NC","NS/NC","Masculino","NS/NC","NS/NC","No","No","8","Femenino","NS/NC","CABA","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-10-06","","","","02"
"2019-10-06","Relacionada","no","No","No es Víctima","Masculino","NS/NC","CORRIENTES","Femenino","NS/NC","NO","NO","Corrientes","NS/NC","Masculino","55","CORRIENTES","NO","NO","NS/NC","Femenino","NS/NC","CORRIENTES","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-10-06","18","18","18","18"
"2019-10-06","Nueva","no","No","Víctima Directa","Femenino","NS/NC","NS/NC","Femenino","NS/NC","NO","NO","NS/NC","NS/NC","NS/NC","NS/NC","CABA","NO","NO","NS/NC","Femenino","NS/NC","CABA","Oferta Laboral Engañosa","Correo Electrónico","NS/NC","Area Legal para judicializar","2019-10-06","","","02","02"
"2019-10-07","Ampliatoria","no","No","Víctima Directa","Femenino","NS/NC","NS/NC","Femenino","NS/NC","NO","NO","NS/NC","NS/NC","NS/NC","NS/NC","CABA","NO","NO","NS/NC","Femenino","NS/NC","CABA","Oferta Laboral Engañosa","Correo Electrónico","NS/NC","Area Legal para judicializar","2019-10-07","","","02","02"
"2019-10-05","Ampliatoria","No","No","Víctima Indirecta","Masculino","60","Chaco","Masculino","28","No","No","Chaco","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Masculino","28","Chaco","Desaparición de personas","Línea 145","ONG-Organismos nacionales","Protex ","2019-10-07","22","22","","22"
"2019-10-07","Nueva","No","No","No es Víctima","Femenino","NS/NC","Santa Fe","Femenino","31","No","No","Santa Fe","Argentina","NS/NC","NS/NC","NS/NC","No","No","1","Femenino","31","Santa Fe","Desaparición de personas","Línea 145","NS/NC","Protex y Personas Extraviadas","2019-10-07","82","82","","82"
"2019-10-02","Nueva","no","No","Víctima Directa","Femenino","32","CABA","Femenino","32","No","No","Caba","Argentina","Femenino","NS/NC","Entre Ríos","No","No","1","Femenino","32","Entre Ríos","Venta de Niñxs y otros delitos","Presencial","ONG-Organismos nacionales","Area Legal para judicializar","2019-10-07","02","02","30","30"
"2019-10-07","Nueva","No","Sí","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","NS/NC","no","No","caba","NS/NC","Masculino","60","Buenos Aires","No","No","NS/NC","Femenino","NS/NC","caba","Explotación Sexual","Línea 145","NS/NC","Area Legal del PNR (ya judicializada)","2019-10-07","06","02","06","02"
"2019-10-07","Nueva","No","No","No es Víctima","Femenino","NS/NC","Buenos Aires","Femenino","28","No","No","Buenos Aires","Argentina","Masculino","NS/NC","Buenos Aires","No","No","1","Femenino","28","Buenos Aires","Desaparición de personas","Línea 145","NS/NC","Protex y Personas Extraviadas","2019-10-07","06","06","06","06"
"2019-10-07","Nueva","No","Sí","No es Víctima","Masculino","NS/NC","NS/NC","Femenino","28","no","No","Santa Fe","NS/NC","Masculino","65","Santa Fe","No","No","1","Femenino","28","Santa Fe","Explotación Sexual","Línea 145","NS/NC","Protex ","2019-10-07","","82","82","82"
