"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento"
"2018-06-01","Sin datos","Mendoza","No requirió derivación. Seguimiento cerrado"
"2018-06-01","Sin datos","La Pampa","No"
"2018-06-01","Sin datos","La Pampa","Sí"
"2018-06-02","Sin datos","Córdoba","Sí"
"2018-06-03","Sin datos","Chaco","No requirió derivación. Seguimiento cerrado"
"2018-06-03","Sin datos","Chaco","No requirió derivación. Seguimiento cerrado"
"2018-06-03","Sin datos","La Pampa","Sí"
"2018-06-03","Sin datos","Jujuy","No"
"2018-06-04","Sin datos","Catamarca","Sin datos"
"2018-06-05","Sin datos","Jujuy","Sí"
"2018-06-05","Sin datos","Neuquén","Sin datos"
"2018-06-05","Sin datos","Jujuy","No"
"2018-06-06","Sin datos","Neuquén","No"
"2018-06-06","Sin datos","Chaco","Informe derivado a un organismo de tercera edad"
"2018-06-06","Sin datos","Neuquén","Sin datos"
"2018-06-08","Salud mental","Chaco","No requirió derivación. Seguimiento cerrado"
"2018-06-08","Salud mental","Buenos Aires","Sin datos"
"2018-06-09","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-06-10","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-06-10","Sin datos","Chaco","No requirió derivación. Seguimiento cerrado"
"2018-06-11","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-06-11","Sin datos","Ciudad Autónoma de Buenos Aires","Sin datos"
"2018-06-11","Salud mental","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-06-12","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-06-12","Salud mental","Buenos Aires","Sin datos"
"2018-06-12","Salud mental","Jujuy","Sin datos"
"2018-06-13","Salud mental","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-06-13","Sin datos","Buenos Aires","Sí"
"2018-06-13","Sin datos","Neuquén","No requirió derivación. Seguimiento cerrado"
"2018-06-13","Sin datos","Neuquén","No requirió derivación. Seguimiento cerrado"
"2018-06-13","Sin datos","La Rioja","Sí"
"2018-06-13","Sin datos","Neuquén","Sin datos"
"2018-06-13","Sin datos","La Pampa","Informe derivado a un organismo de tercera edad"
"2018-06-13","Sin datos","Chaco","Sin datos"
"2018-06-14","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-06-14","Salud mental","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-06-14","Sin datos","Neuquén","Sin datos"
"2018-06-14","Sin datos","La Pampa","No"
"2018-06-15","Sin datos","La Pampa","Sí"
"2018-06-16","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-06-16","Sin datos","Neuquén","Sin datos"
"2018-06-16","Sin datos","La Pampa","Sin datos"
"2018-06-17","Sin datos","La Pampa","No"
"2018-06-17","Sin datos","Jujuy","Informe derivado a un organismo de tercera edad"
"2018-06-19","Salud mental","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-06-19","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-06-19","Sin datos","La Rioja","Sin datos"
"2018-06-19","Sin datos","Catamarca","Sin datos"
"2018-06-20","Sin datos","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-06-20","Salud mental","Neuquén","Sí"
"2018-06-21","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-06-21","Sin datos","La Pampa","Sin datos"
"2018-06-21","Sin datos","Ciudad Autónoma de Buenos Aires","Sin datos"
"2018-06-21","Sin datos","La Rioja","No requirió derivación. Seguimiento cerrado"
"2018-06-21","Sin datos","Neuquén","No"
"2018-06-22","Salud mental","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-06-22","Salud mental","La Pampa","Sin datos"
"2018-06-22","Salud mental","La Pampa","Sí"
"2018-06-22","Sin datos","Neuquén","No requirió derivación. Seguimiento cerrado"
"2018-06-24","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
"2018-06-24","Sin datos","Catamarca","Sin datos"
"2018-06-25","Salud mental","La Rioja","Sin datos"
"2018-06-25","Sin datos","Entre Ríos","No requirió derivación. Seguimiento cerrado"
"2018-06-26","Sin datos","Neuquén","Informe derivado a un organismo de discapacidad"
"2018-06-26","Sin datos","Mendoza","Sin datos"
"2018-06-26","Sin datos","Ciudad Autónoma de Buenos Aires","No requirió derivación. Seguimiento cerrado"
"2018-06-27","Sin datos","La Pampa","Sí"
"2018-06-27","Sin datos","Catamarca","Sin datos"
"2018-06-27","Sin datos","La Rioja","Sí"
"2018-06-27","Sin datos","La Pampa","Sin datos"
"2018-06-27","Sin datos","Neuquén","No"
"2018-06-28","Sin datos","La Rioja","Sin datos"
"2018-06-28","Sin datos","La Pampa","Sí"
"2018-06-28","Sin datos","Neuquén","Otros"
"2018-06-29","Salud mental","Jujuy","No requirió derivación. Seguimiento cerrado"
"2018-06-29","Sin datos","La Rioja","Sí"
"2018-06-29","Sin datos","La Pampa","No requirió derivación. Seguimiento cerrado"
