"orientacion_fecha","orientacion_tipo","orientacion_provincia","orientacion_seguimiento","orientacion_provincia_indec_id"
"2018-11-02","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-02","Consulta por judicializaciones","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-02","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-05","Trata de personas","Chaco","No fue derivada a seguimiento","22"
"2018-11-05","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-05","Trata de personas","Misiones","Informe derivado a un organismo de niñez","54"
"2018-11-05","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-06","Trata de personas","Mendoza","No fue derivada a seguimiento","50"
"2018-11-07","Otros","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-07","Violencia de género","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-07","Trata de personas","Santa Fe","No fue derivada a seguimiento","82"
"2018-11-08","Otros","Tucumán","No fue derivada a seguimiento","90"
"2018-11-08","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-08","Otros","Tucumán","No fue derivada a seguimiento","90"
"2018-11-08","Otros","Chaco","No fue derivada a seguimiento","22"
"2018-11-08","Otros","Córdoba","No fue derivada a seguimiento","14"
"2018-11-09","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-09","Discriminación","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-09","Trata de personas","Neuquén","No fue derivada a seguimiento","58"
"2018-11-10","Violencia familiar","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-10","Discriminación","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-10","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-10","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-11","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-12","Trata de personas","Córdoba","No fue derivada a seguimiento","14"
"2018-11-12","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-12","Personas privadas de su libertad","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-12","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-13","Trata de personas","Chaco","No fue derivada a seguimiento","22"
"2018-11-13","Trata de personas","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-13","Salud mental","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-13","Violencia familiar","Santa Fe","No fue derivada a seguimiento","82"
"2018-11-13","Personas privadas de su libertad","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-14","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-14","Violencia familiar","Santa Fe","Informe derivado a un organismo de niñez","82"
"2018-11-14","Trata de personas","Sin dato/no contesta","No fue derivada a seguimiento",""
"2018-11-14","Trata de personas","Río Negro","No fue derivada a seguimiento","62"
"2018-11-14","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-14","Trata de personas","Río Negro","Informe derivado a un organismo de niñez","62"
"2018-11-15","Violencia familiar","Chaco","No fue derivada a seguimiento","22"
"2018-11-15","Trata de personas","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-15","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-16","Violencia familiar","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-16","Violencia familiar","Buenos Aires","No fue derivada a seguimiento","06"
"2018-11-16","Otros","Ciudad Autónoma de Buenos Aires","No fue derivada a seguimiento","02"
"2018-11-18","Trata de personas","Tucumán","No fue derivada a seguimiento","90"
"2018-11-19","Niñez y adolescencia en riesgo","Mendoza","Otros organismos","50"
"2018-11-19","Violencia familiar","Mendoza","Informe derivado a un organismo de discapacidad","50"
"2018-11-19","Personas privadas de su libertad","Neuquén","No fue derivada a seguimiento","58"
