"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_id"
"2019-06-01","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","NS/NC",""
"2019-06-02","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Mendoza","50"
"2019-06-03","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas, Otro (Víctimas de delito)","No fue derivada a seguimiento","Buenos Aires","06"
"2019-06-03","VÍCTIMA DE DELITO","CONTRA LA PROPIEDAD: Fraude, estafa , extorsión, usurpación o daños","No fue derivada a seguimiento","CABA","02"
"2019-06-03","RELACIONES DE FAMILIA","Familiar con consumo problemático, adicciones o alcoholismo","No fue derivada a seguimiento","NS/NC",""
"2019-06-04","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar","No fue derivada a seguimiento","Santa Fe","82"
"2019-06-04","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Entre Ríos","30"
"2019-06-04","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas, Otro (Víctimas de delito)","No fue derivada a seguimiento","La Pampa","42"
"2019-06-05","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivada a seguimiento","NS/NC",""
"2019-06-05","RELACIONES DE FAMILIA","Deberes de responsabilidad parental o familiar","No fue derivada a seguimiento","NS/NC",""
"2019-06-07","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","Corrientes ","18"
"2019-06-07","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","Corrientes ","18"
"2019-06-07","SALUD","Salud mental","En curso","NS/NC",""
"2019-06-07","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Santiago del Estero","86"
"2019-06-07","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Santiago del Estero","86"
"2019-06-07","VIOLENCIA DE GÉNERO","Sexual","No fue derivada a seguimiento","Formosa ","34"
"2019-06-07","VIOLENCIA DE GÉNERO","Sexual","No fue derivada a seguimiento","Formosa ","34"
"2019-06-07","VIOLENCIA DE GÉNERO","Psicológica","No fue derivada a seguimiento","Entre Ríos","30"
"2019-06-07","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","CABA","02"
"2019-06-08","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-06-09","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","NS/NC",""
"2019-06-09","JUSTICIA PENAL","Otro (Justicia Penal)","No fue derivada a seguimiento","NS/NC",""
"2019-06-09","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","NS/NC",""
"2019-06-09","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Buenos Aires","06"
"2019-06-10","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Córdoba","14"
"2019-06-10","RELACIONES DE FAMILIA","Violencia intrafamiliar","No fue derivada a seguimiento","Buenos Aires","06"
"2019-06-10","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","NS/NC",""
"2019-06-10","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No fue derivada a seguimiento","NS/NC",""
"2019-06-10","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-06-10","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-06-11","RELACIONES DE FAMILIA","Violencia intrafamiliar","No fue derivada a seguimiento","Chaco","22"
"2019-06-11","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Otro (Relaciones de familia)","No fue derivada a seguimiento","Santa Fe","82"
"2019-06-11","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar","No fue derivada a seguimiento","Santa Fe","82"
"2019-06-11","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Entre Ríos","30"
"2019-06-11","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas, Otro (Víctimas de delito)","No fue derivada a seguimiento","La Pampa","42"
"2019-06-11","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","NS/NC",""
"2019-06-11","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivada a seguimiento","NS/NC",""
"2019-06-11","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Otros páises",""
"2019-06-11","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","CABA","02"
"2019-06-12","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Trata de personas con fines de explotación sexual o laboral","No fue derivada a seguimiento","NS/NC",""
"2019-06-12","VIOLENCIA DE GÉNERO","Física","No fue derivada a seguimiento","NS/NC",""
"2019-06-12","TRATA","Explotación sexual, Explotación sexual N,N y A","No fue derivada a seguimiento","Buenos Aires","06"
"2019-06-13","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","Seguimiento concluido sin derivación","NS/NC",""
"2019-06-13","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No fue derivada a seguimiento","NS/NC",""
"2019-06-13","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","NS/NC",""
"2019-06-13","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivada a seguimiento","Río Negro","62"
"2019-06-17","TRATA","Posible captación","No fue derivada a seguimiento","NS/NC",""
"2019-06-17","TRATA","Otro","No fue derivada a seguimiento","Chaco ","22"
"2019-06-18","VIOLENCIA DE GÉNERO","Física","No fue derivada a seguimiento","Buenos Aires","06"
"2019-06-18","RELACIONES DE FAMILIA","Protección de niños, niñas y adolescentes en desamparo, Violencia intrafamiliar","No fue derivada a seguimiento","Santa Fe","82"
"2019-06-18","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivada a seguimiento","Entre Ríos","30"
