"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_id"
"2019-07-01","TRATA","Otro","","Santiago del Estero","86"
"2019-07-01","TRATA","Persona desaparecida","","Mendoza ","50"
"2019-07-01","TRATA","Reducción a la servidumbre o situaciones análogas","","Santiago del Estero","86"
"2019-07-02","TRATA","Traslado de personas","","Buenos Aires","06"
"2019-07-02","TRATA","Otro","","Mendoza ","50"
"2019-07-02","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","","Buenos Aires","06"
"2019-07-04","TRATA","Persona desaparecida","","Chaco ","22"
"2019-07-05","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","","Buenos Aires","06"
"2019-07-09","TRATA","Posible captación","","Córdoba","14"
"2019-07-09","TRATA","Traslado de personas","","Buenos Aires","06"
"2019-07-10","TRATA","Explotación sexual","","Buenos Aires","06"
"2019-07-10","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","","NS/NC",""
"2019-07-10","TRATA","Explotación sexual","","Cordoba","14"
"2019-07-11","TRATA","Posible captación","","NS/NC",""
"2019-07-13","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","","Chaco ","22"
"2019-07-13","TRATA","Otro","","NS/NC",""
"2019-07-14","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","","NS/NC",""
"2019-07-14","TRATA","Persona desaparecida","","Buenos Aires","06"
"2019-07-14","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","","Santa Fe","82"
"2019-07-14","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","","Buenos Aires","06"
"2019-07-16","TRATA","Explotación sexual","","Buenos Aires","06"
"2019-07-16","ABUSO SEXUAL INFANTIL","ABUSO SEXUAL INFANTIL","","Formosa ","34"
"2019-07-17","TRATA","Explotación laboral","","NS/NC",""
"2019-07-18","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","","Buenos Aires","06"
"2019-07-18","TRATA","Persona desaparecida","","Santiago del Estero ","86"
"2019-07-19","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","","Santiago del Estero ","86"
"2019-07-20","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","","Buenos Aires","06"
"2019-07-21","TRATA","Persona desaparecida","","Buenos Aires","06"
"2019-07-21","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","","Santa Fe","82"
"2019-07-22","TRATA","Explotación sexual","","NS/NC",""
"2019-07-25","TRATA","Otro","","Buenos Aires","06"
"2019-07-26","TRATA","Explotación sexual","","NS/NC",""
"2019-07-26","TRATA","Explotación sexual","","Chubut","26"
"2019-07-27","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","","Mendoza ","50"
"2019-07-27","ABUSO SEXUAL INFANTIL","ABUSO SEXUAL INFANTIL","","Salta ","66"
"2019-07-28","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","","Tucumán","90"
"2019-07-29","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","","Buenos Aires","06"
"2019-07-29","TRATA","Posible captación","","NS/NC",""
"2019-07-30","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","","Mendoza ","50"
"2019-07-30","TRATA","Venta de niños y otros delitos","","Santa Fe ","82"
"2019-07-30","TRATA","Persona desaparecida","","Buenos Aires","06"
"2019-07-31","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","","Buenos Aires","06"
"2019-07-31","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","","NS/NC",""
